listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
20798174,3 BHK Flat,33000000.0,1700.0,3.0,3,1,"7th Phase, JP Nagar",Bengaluru,12.89308,77.579529,4.0,8.0,Fully Furnished,Unknown,13.0,Ready to Move,,False,Elita Promenade,2026-07-28,resale,Resale,Real
19696867,4 BHK Flat,17500000.0,2345.0,4.0,4,2,"Horamavu Agara, Horamavu",Bengaluru,13.035663,77.663109,1.0,4.0,Semi Furnished,North,1.0,Ready to Move,,False,S2 Violet,2026-09-13,resale,Resale,Real
20831746,4 BHK Flat,29000000.0,2337.0,4.0,4,1,"Begur, Bengaluru",Bengaluru,12.86975134,77.63402601,16.0,25.0,Unfurnished,East,,Ready to Move,,False,CANVAS & COVE by Assetz Property Group,2026-08-02,resale,Resale,Real
20853560,2 BHK Flat,9000000.0,1200.0,2.0,2,2,"Block A, Sahakara Nagar",Bengaluru,13.065111,77.584167,2.0,5.0,Semi Furnished,West,15.0,Ready to Move,,False,,2026-08-05,resale,Resale,Real
20979475,3 BHK Flat,19600000.0,1796.0,3.0,3,1,"Ardendale, Kannamangala - Whitefield Hoskote Road",Bengaluru,13.0294656944839,77.7591819551288,6.0,24.0,Unfurnished,West,,Ready to Move,,False,,2026-08-24,resale,Resale,Real
19696865,4 BHK Flat,17000000.0,2345.0,4.0,4,2,"Horamavu Agara, Horamavu",Bengaluru,13.035663,77.663109,1.0,4.0,Semi Furnished,North,1.0,Ready to Move,,False,S2 Violet,2026-09-13,resale,Resale,Real
19837295,3 BHK Flat,41500000.0,2000.0,3.0,3,2,"1st Phase, Jayanagar",Bengaluru,12.916106,77.584778,2.0,4.0,Semi Furnished,South,24.0,Ready to Move,,False,Adarsh Palace,2026-08-18,resale,Resale,Real
20822944,3 BHK Flat,29000000.0,2516.0,3.0,4,1,"Ardendale, Kannamangala - Whitefield Hoskote Road",Bengaluru,13.0294656944839,77.7591819551288,2.0,7.0,Unfurnished,East,,Ready to Move,,False,,2026-08-01,resale,Resale,Real
19952940,3 BHK Flat,23500000.0,1470.0,3.0,3,1,"P&T Layout, Thanisandra",Bengaluru,13.056896,77.628738,11.0,15.0,Semi Furnished,North,6.0,Ready to Move,,False,Unishire Terraza,2026-06-09,resale,Resale,Real
21094021,3 BHK Flat,19000000.0,1843.0,3.0,3,1,"Mallasandra, Bengaluru",Bengaluru,12.85438,77.542854,16.0,18.0,Semi Furnished,North,15.0,Ready to Move,,False,Purva Highland,2026-09-10,resale,Resale,Real
19644846,3 BHK Flat,27500000.0,1653.0,3.0,3,1,"Akshaya Vana, Akshayanagar",Bengaluru,12.862097,77.613724,6.0,28.0,Semi Furnished,East,3.0,Ready to Move,,False,Prestige Song Of The South Phase 2,2026-08-07,resale,Resale,Real
21041934,12 BHK Flat,95000000.0,9300.0,12.0,12,3,"Sanjay Nagar, Marathahalli",Bengaluru,12.957415,77.694688,1.0,5.0,Fully Furnished,West,4.0,Ready to Move,,False,,2026-09-03,resale,Resale,Real
20816585,3 BHK Flat,34000000.0,2182.0,3.0,3,2,"Rachenahalli, Thanisandra",Bengaluru,13.0572835213812,77.624392053525,10.0,35.0,Unfurnished,North,,Ready to Move,,False,,2026-07-31,resale,Resale,Real
20103206,2 BHK Flat,7900000.0,1055.0,2.0,2,1,"Madagondanahalli, Electronic City",Bengaluru,12.828118,77.655312,6.0,10.0,Semi Furnished,East,9.0,Ready to Move,,False,Mahendra Elena 5,2026-09-08,resale,Resale,Real
20768851,5 BHK Flat,290000000.0,6444.0,5.0,6,5,"One Bangalore West, Rajajinagar",Bengaluru,13.009999,77.553597,26.0,30.0,Semi Furnished,North,5.0,Ready to Move,,False,Phoenix Kessaku,2026-07-24,resale,Resale,Real
20273528,2 BHK Flat,6000000.0,1000.0,2.0,2,1,"Bommasandra, Bengaluru",Bengaluru,12.820639,77.663666,2.0,4.0,Unfurnished,North,7.0,Ready to Move,,False,GM E City Town,2026-07-29,resale,Resale,Real
19627353,3 BHK Flat,15900000.0,1545.0,3.0,2,1,"Gunjur, Bengaluru",Bengaluru,12.919628,77.736671,3.0,23.0,Semi Furnished,West,3.0,Ready to Move,,False,Sai Purvi Symphony,2026-09-07,resale,Resale,Real
20438386,3 BHK Flat,17500000.0,1383.0,3.0,2,1,"Chikkakannalli, Bengaluru",Bengaluru,12.891599,77.705559,1.0,27.0,Unfurnished,North,,Upcoming,2026-08-14,True,Godrej Park Retreat,2026-08-14,resale,Resale,Real
19835778,3 BHK Flat,12500000.0,1350.0,3.0,3,1,"Budigere Cross, Bengaluru",Bengaluru,13.070902,77.751274,8.0,19.0,Semi Furnished,South,6.0,Ready to Move,,False,Shriram Green Field Phase 1,2026-08-01,resale,Resale,Real
20747624,2 BHK Flat,12000000.0,1200.0,2.0,1,1,"Yelahanka, Bengaluru",Bengaluru,13.121748,77.576965,1.0,8.0,Semi Furnished,East,10.0,Ready to Move,,False,Veracious Vani Villas,2026-09-19,resale,Resale,Real
20890938,3 BHK Flat,22400000.000000004,1476.0,3.0,3,1,"Akshaya Gardens, Akshayanagar",Bengaluru,12.875741,77.613739,7.0,27.0,Semi Furnished,West,9.0,Ready to Move,,False,Hiranandani Bannerghatta,2026-08-10,resale,Resale,Real
19881129,2 BHK Flat,8500000.0,1251.0,2.0,2,1,"Prakruthi Layout, HBR Layout",Bengaluru,13.037252,77.63153,3.0,4.0,Semi Furnished,East,10.0,Ready to Move,,False,SLV Grand,2026-08-04,resale,Resale,Real
